#data:
	
param desk_profit := 
	1 20
	2 30
	3 40
	4 50
	5 80
	6 125
	7 100
	8 250
	9 325;
	
param september_orders :=
	1 750
	2 1500
	3 100
	4 400
	5 1500
	6 100
	7 25
	8 150
	9 50;

param aluminum_supply := 65000;
param aluminum_req :=
	1 14
	2 24
	3 30
	4 0
	5 0
	6 0
	7 0
	8 0
	9 0;

param particle_supply := 60000;
param particle_req :=
	1 8
	2 15
	3 24
	4 0
	5 0
	6 0
	7 0
	8 0
	9 0;

param pine_supply := 175000;
param pine_req :=
	1 0
	2 0
	3 0
	4 22
	5 40
	6 55
	7 25
	8 45
	9 60;

param total_labor := 230400;
param labor_req :=
	1 10
	2 11
	3 12
	4 15
	5 18
	6 20
	7 20
	8 25
	9 30;
param handy_req :=
	1 0
	2 0
	3 0
	4 0
	5 0
	6 0
	7 50
	8 60
	9 70;


param line_req: 
			1 2 3 :=
	1		1.5 1.0 0.0
	2		2.0 1.0 0.0
	3		2.5 1.0 0.0
	4		0.0 1.0 3.0
	5		0.0 1.0 4.0
	6		0.0 1.0 5.0
	7		0.0 0.0 3.0
	8		0.0 0.0 4.0
	9		0.0 0.0 5.0;

param line_limit:= 	
1 9600
2 9600
3 19200;


















